SARS-CoV-2_400_1_LEFT_1	1	1	1	2.5	0.91					
SARS-CoV-2_400_1_RIGHT_1	1	1	1	2.5	0.91					
SARS-CoV-2_400_2_LEFT_0	2	2	0	1.0	0.30					
SARS-CoV-2_400_2_RIGHT_0	2	2	0	1.0	0.30					
SARS-CoV-2_400_3_LEFT_1	1	3	1	3.0	1.09					
SARS-CoV-2_400_3_RIGHT_0	1	3	0	3.0	1.09					
SARS-CoV-2_400_4_LEFT_0	2	4	0	3.5	1.04					
SARS-CoV-2_400_4_RIGHT_0	2	4	0	3.5	1.04					
SARS-CoV-2_400_5_LEFT_0	1	5	0	1.0	0.36					
SARS-CoV-2_400_5_RIGHT_0	1	5	0	1.0	0.36					
SARS-CoV-2_400_6_LEFT_1	2	6	1	6.0	1.79					
SARS-CoV-2_400_6_RIGHT_1	2	6	1	6.0	1.79					
SARS-CoV-2_400_7_LEFT_2	1	7	2	2.5	0.91					
SARS-CoV-2_400_7_RIGHT_2	1	7	2	2.5	0.91					
SARS-CoV-2_400_8_LEFT_0	2	8	0	1.5	0.45					
SARS-CoV-2_400_8_RIGHT_0	2	8	0	1.5	0.45					
SARS-CoV-2_400_9_LEFT_0	1	9	0	3.5	1.27					
SARS-CoV-2_400_9_RIGHT_0	1	9	0	3.5	1.27					
SARS-CoV-2_400_10_LEFT_0	2	10	0	1.0	0.30					
SARS-CoV-2_400_10_RIGHT_0	2	10	0	1.0	0.30					
SARS-CoV-2_400_11_LEFT_0	1	11	0	2.5	0.91					
SARS-CoV-2_400_11_RIGHT_0	1	11	0	2.5	0.91					
SARS-CoV-2_400_12_LEFT_0	2	12	0	4.0	1.19					
SARS-CoV-2_400_12_RIGHT_0	2	12	0	4.0	1.19					
SARS-CoV-2_400_13_LEFT_0	1	13	0	3.0	1.09					
SARS-CoV-2_400_13_RIGHT_0	1	13	0	3.0	1.09					
SARS-CoV-2_400_14_LEFT_0	2	14	0	8.5	2.53					
SARS-CoV-2_400_14_RIGHT_0	2	14	0	8.5	2.53					
SARS-CoV-2_400_15_LEFT_0	1	15	0	3.0	1.09					
SARS-CoV-2_400_15_RIGHT_0	1	15	0	3.0	1.09					
SARS-CoV-2_400_16_LEFT_0	2	16	0	7.0	2.08					
SARS-CoV-2_400_16_RIGHT_0	2	16	0	7.0	2.08					
SARS-CoV-2_400_17_LEFT_0	1	17	0	1.5	0.55					
